Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
GU;Manure applied to Soils;52;Azerbaijan;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;3353583.512;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;3865943.598;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;4094481.843;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;4343992.312;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;2235722.342;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;2577295.732;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;2729654.562;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;2895994.875;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;594485.0286;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;738449.2553;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;737407.577;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;738394.4458;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;178345.5086;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;221534.7766;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;221222.2731;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;221518.3337;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;118897.0057;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;147689.8511;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;147481.5154;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;12;Bahamas;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;147678.8892;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;13;Bahrain;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;90584.8069;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;13;Bahrain;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;86247.6489;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;13;Bahrain;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;93646.3091;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;13;Bahrain;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;97289.8734;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;13;Bahrain;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;27175.4421;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;13;Bahrain;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;25874.2947;A;Aggregate, may include official, semi-official, estimated or calculated data
