"","country","year","N_area","Nt_area","yield","cropsuit","manure_area","netcap_area","netcap14_area","market","IFA_Region"
"228","Mexico",2014,2978405.73540634,0.100594826378423,54922502.1229931,49.60464179,40.9630907120505,0.00125545966791271,0.00125545966791271,2606.495219,"IFA"
"232","Morocco",2014,853563.350633936,0.0288288650667304,21350663.5720318,49.72109747,7.25363418025665,0.00384922209952568,0.00384922209952568,2152.145128,"IFA"
"244","New_Zealand",2014,4467032.9330115,0.150872796469982,109564487.447608,41.63025949,467.561293593833,0.122791267942584,0.122791267942584,4684.017893,"IFA"
"260","Pakistan",2014,4398279.34642141,0.144535780392441,42069112.5671787,37.06494661,43.83878507804,0.00585177805501695,0.00585177805501695,586.9369811,"IFA"
"268","Philippines",2014,1955380.8053423,0.0642575126326393,47668023.3692717,57.47327435,19.1178326861286,0.0055474425211686,0.0055474425211686,500.0712329,"IFA"
"292","Russian_Federation",2014,718314.642952828,0.0218895135644087,32492046.3685087,44.56338886,23.1436567027744,0.00343980268099574,0.00343980268099574,3011.235629,"IFA"
"308","South_Africa",2014,2109487.52575219,0.0712473552135234,60881223.9610174,41.66683332,11.2448844640433,0.0045582897685817,0.0045582897685817,2236.962571,"IFA"
"332","Thailand",2014,2428550.57354135,0.0798067664017076,53391879.4191778,45.89237119,11.0018278118579,0.00237022932843897,0.00237022932843897,1050.431159,"IFA"
"340","Turkey",2014,2291324.2054271,0.0795999482324788,40241434.8690334,30.72251226,5.97799349424492,0.0114751298160013,0.0114751298160013,3180.367236,"IFA"
"344","Ukraine",2014,1488326.16976377,0.0453544086855656,51505201.556287,63.11288305,14.1553651660802,0.00205384730924384,0.00205384730924384,2416.361874,"IFA"
"352","United_States_of_America",2014,2722390.13975773,0.0873384418741434,87180605.1347911,66.67575229,25.4314602466063,0.00675373484630784,0.00675373484630784,12402.17048,"IFA"
"360","Uzbekistan",2014,4202137.12259706,0.128053546516154,67624282.9396545,27.86891249,138.603295381249,0.00503061506565308,0.00503061506565308,671.9470199,"IFA"
"368","Viet_Nam",2014,3180324.97279311,0.104511495437011,67411983.3941085,60.10697341,26.7223420832446,0.00200077883071418,0.00200077883071418,652.5337752,"IFA"
"19","EU27",2014,3223492.7949487,0.103595052937437,78511146.2120039,47.0027606,76.7148841142306,0.0191796932236198,0.0191796932236198,14327.10038,"IFA"
