"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"621",2534,34861,34861,"Argentina","Asparagus",2000,1664,6553
"622",2535,34867,34867,"Argentina","Asparagus",2006,1790,7100
"623",2536,34871,34871,"Argentina","Asparagus",2010,2225,8802
"624",2537,34875,34875,"Argentina","Asparagus",2014,2499,9878
"625",2538,34917,34917,"Argentina","Avocados",2000,527,3385
"626",2539,34923,34923,"Argentina","Avocados",2006,550,3450
"627",2540,34927,34927,"Argentina","Avocados",2010,562,3740
"628",2541,34931,34931,"Argentina","Avocados",2014,581,3891
"629",2542,34973,34973,"Argentina","Bananas",2000,8500,175000
"630",2543,34979,34979,"Argentina","Bananas",2006,8600,181000
"631",2544,34983,34983,"Argentina","Bananas",2010,8203,171233
"632",2545,34987,34987,"Argentina","Bananas",2014,8408,175456
"633",2546,35029,35029,"Argentina","Barley",2000,247830,722490
"634",2547,35035,35035,"Argentina","Barley",2006,337592,1268465
"635",2548,35039,35039,"Argentina","Barley",2010,746435,2964075
"636",2549,35043,35043,"Argentina","Barley",2014,888873,2901492
"641",2554,35141,35141,"Argentina","Beans, green",2000,600,4000
"642",2555,35147,35147,"Argentina","Beans, green",2006,650,4150
"643",2556,35151,35151,"Argentina","Beans, green",2010,882,4000
"644",2557,35155,35155,"Argentina","Beans, green",2014,906,4062
"657",2570,35365,35365,"Argentina","Cassava",2000,17000,170000
"658",2571,35371,35371,"Argentina","Cassava",2006,17200,172000
"659",2572,35375,35375,"Argentina","Cassava",2010,18000,181800
"660",2573,35379,35379,"Argentina","Cassava",2014,18642,186057
"661",2574,35412,35412,"Argentina","Castor oil seed",2000,NA,NA
"662",2575,35418,35418,"Argentina","Castor oil seed",2006,NA,NA
"663",2576,35422,35422,"Argentina","Castor oil seed",2010,NA,NA
"664",2577,35426,35426,"Argentina","Castor oil seed",2014,NA,NA
"669",2582,35524,35524,"Argentina","Cereals, nes",2000,20000,13000
"670",2583,35530,35530,"Argentina","Cereals, nes",2006,22200,15200
"671",2584,35534,35534,"Argentina","Cereals, nes",2010,26000,18978
"672",2585,35538,35538,"Argentina","Cereals, nes",2014,28241,18071
"677",2590,35636,35636,"Argentina","Cherries",2000,1295,6511
"678",2591,35642,35642,"Argentina","Cherries",2006,1350,6750
"679",2592,35646,35646,"Argentina","Cherries",2010,1800,7573
"680",2593,35650,35650,"Argentina","Cherries",2014,1661,7104
"689",2602,35804,35804,"Argentina","Chillies and peppers, green",2000,8113,120241
"690",2603,35810,35810,"Argentina","Chillies and peppers, green",2006,6300,126000
"691",2604,35814,35814,"Argentina","Chillies and peppers, green",2010,7072,145195
"692",2605,35818,35818,"Argentina","Chillies and peppers, green",2014,6618,145380
"717",2630,36190,36190,"Argentina","Figs",2000,268,887
"718",2631,36196,36196,"Argentina","Figs",2006,260,870
"719",2632,36200,36200,"Argentina","Figs",2010,268,873
"720",2633,36204,36204,"Argentina","Figs",2014,267,868
"725",2638,36302,36302,"Argentina","Garlic",2000,15500,149186
