"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots","sum_t","Region","kJ_t_N","N_total_kj"
"153","Montenegro",2279.94306984073,0,4069.52263783115,0,0,98.564693238412,0,0,87.009460653958,6535.03986156425,"Central_European_countries",35858506.9373052,234336772211.468
"154","Montserrat",0,0,0.374430957499587,0,0,0,0,0,0.253079247794707,0.627510205294294,"Latin_America",29607941.5078667,18579285.4539429
"155","Mozambique",38.8031386363782,6427.60927920885,31349.0072580784,0,0,2370.08529780128,3699.95091736642,2137.23371680487,5754.29989309573,51776.9895009919,"Africa",29607941.5078667,1533010076598.8
"156","Namibia",17.4355436272793,0,1098.33080866545,0,0,1619.67879545727,8.83517929451212,0,0.493813166428696,2744.77414021094,"Africa",29607941.5078667,81267112195.6705
"157","Nepal",17074.4157503701,54438.4964406074,20444.1799001157,110.89830362971,0,1785.56437881518,0,4601.06840825926,756.892130843582,99211.5153126409,"Other_Asia",30430384.3275296,3019044540680.25
"158","New_Caledonia",0.129343795454594,0,29.954476599967,0,0,0,0,0,2.62338244665244,32.707202842074,"Other_Asia",30430384.3275296,995292752.762782
"159","Niger",142.614468868236,767.700732603287,153.491730510997,0,0,44735.8490202091,4654.46028746476,263.038060775652,48.2270283663425,50765.3813287984,"Africa",29607941.5078667,1503058441007.61
"160","Niue",0,0,0,0,0,0,0,0,0.0432086520625109,0.0432086520625109,"Other_Asia",30430384.3275296,1314855.88853671
"161","Occupied_Palestinian_Territory",560.498403222938,0,25.7109257483049,0,0,56.7666037606354,0.193753931897195,0,9.59849342245774,652.768180086233,"Middle_East",29607941.5078667,19327122094.1898
"162","Oman",11.459860277277,0,103.767299355052,0,0,13.469211418615,0,0,4.30851987709036,133.004890928034,"Middle_East",29607941.5078667,3938001030.85743
"163","Panama",0,3326.30769241866,1395.35440621796,0.75208121293492,56.9561420263636,2.80404492260257,0,1958.02271181056,23.2771181325326,6763.47419674161,"Latin_America",29607941.5078667,200252548407.091
"164","Papua_New_Guinea",0,12.9113305028734,594.097119232677,0,732.293254624675,6.93052151176007,13.330270514527,554.097630282744,68.8252100709995,1982.48533674026,"Other_Asia",30430384.3275296,60327790720.698
"165","Peru",3795.17977746961,10018.9482018149,13979.3797982471,12.0725872315151,101.605689079174,953.950776354579,70.7718528576488,5051.54978167912,2255.64595427758,36239.1044190112,"Latin_America",29607941.5078667,1072965283935.56
